=== Training LWM ===
[59/150] TrainLoss: 0.005154  ValLoss: 0.005865  Val RMSE: 0.0766  Val NMSE: 0.2051  Val NMSE_dB: -6.879748 dB  TrainTime: 28.74s
[60/150] TrainLoss: 0.005149  ValLoss: 0.005831  Val RMSE: 0.0764  Val NMSE: 0.2046  Val NMSE_dB: -6.891634 dB  TrainTime: 30.41s
[61/150] TrainLoss: 0.005120  ValLoss: 0.005874  Val RMSE: 0.0766  Val NMSE: 0.2058  Val NMSE_dB: -6.865058 dB  TrainTime: 28.63s
[62/150] TrainLoss: 0.005121  ValLoss: 0.005853  Val RMSE: 0.0765  Val NMSE: 0.2052  Val NMSE_dB: -6.878220 dB  TrainTime: 29.92s
[63/150] TrainLoss: 0.005105  ValLoss: 0.005848  Val RMSE: 0.0765  Val NMSE: 0.2052  Val NMSE_dB: -6.879019 dB  TrainTime: 29.89s
[64/150] TrainLoss: 0.005106  ValLoss: 0.005832  Val RMSE: 0.0764  Val NMSE: 0.2043  Val NMSE_dB: -6.898281 dB  TrainTime: 28.64s
[65/150] TrainLoss: 0.005088  ValLoss: 0.005851  Val RMSE: 0.0765  Val NMSE: 0.2055  Val NMSE_dB: -6.872623 dB  TrainTime: 28.46s
[66/150] TrainLoss: 0.005074  ValLoss: 0.005791  Val RMSE: 0.0761  Val NMSE: 0.2027  Val NMSE_dB: -6.931629 dB  TrainTime: 28.66s
[67/150] TrainLoss: 0.005086  ValLoss: 0.005836  Val RMSE: 0.0764  Val NMSE: 0.2044  Val NMSE_dB: -6.895272 dB  TrainTime: 29.30s
[68/150] TrainLoss: 0.005054  ValLoss: 0.005919  Val RMSE: 0.0769  Val NMSE: 0.2071  Val NMSE_dB: -6.837307 dB  TrainTime: 28.90s
[69/150] TrainLoss: 0.005052  ValLoss: 0.005870  Val RMSE: 0.0766  Val NMSE: 0.2051  Val NMSE_dB: -6.880545 dB  TrainTime: 28.74s
[70/150] TrainLoss: 0.005046  ValLoss: 0.005905  Val RMSE: 0.0768  Val NMSE: 0.2074  Val NMSE_dB: -6.831908 dB  TrainTime: 32.06s
[71/150] TrainLoss: 0.005042  ValLoss: 0.005873  Val RMSE: 0.0766  Val NMSE: 0.2058  Val NMSE_dB: -6.864539 dB  TrainTime: 32.18s
[72/150] TrainLoss: 0.005025  ValLoss: 0.005977  Val RMSE: 0.0773  Val NMSE: 0.2101  Val NMSE_dB: -6.775463 dB  TrainTime: 30.11s
[73/150] TrainLoss: 0.005024  ValLoss: 0.005828  Val RMSE: 0.0763  Val NMSE: 0.2036  Val NMSE_dB: -6.911770 dB  TrainTime: 29.58s
[74/150] TrainLoss: 0.005034  ValLoss: 0.006038  Val RMSE: 0.0777  Val NMSE: 0.2124  Val NMSE_dB: -6.728865 dB  TrainTime: 30.16s
[75/150] TrainLoss: 0.005059  ValLoss: 0.005854  Val RMSE: 0.0765  Val NMSE: 0.2051  Val NMSE_dB: -6.881214 dB  TrainTime: 30.99s
[76/150] TrainLoss: 0.005000  ValLoss: 0.005938  Val RMSE: 0.0771  Val NMSE: 0.2087  Val NMSE_dB: -6.805386 dB  TrainTime: 31.06s
[77/150] TrainLoss: 0.004998  ValLoss: 0.005871  Val RMSE: 0.0766  Val NMSE: 0.2057  Val NMSE_dB: -6.868384 dB  TrainTime: 29.33s
[78/150] TrainLoss: 0.005014  ValLoss: 0.005878  Val RMSE: 0.0767  Val NMSE: 0.2062  Val NMSE_dB: -6.856764 dB  TrainTime: 28.46s
[79/150] TrainLoss: 0.004962  ValLoss: 0.005854  Val RMSE: 0.0765  Val NMSE: 0.2051  Val NMSE_dB: -6.880072 dB  TrainTime: 28.65s
[80/150] TrainLoss: 0.004981  ValLoss: 0.005880  Val RMSE: 0.0767  Val NMSE: 0.2055  Val NMSE_dB: -6.872685 dB  TrainTime: 28.42s
[81/150] TrainLoss: 0.004954  ValLoss: 0.005925  Val RMSE: 0.0770  Val NMSE: 0.2073  Val NMSE_dB: -6.833167 dB  TrainTime: 28.92s
[82/150] TrainLoss: 0.004975  ValLoss: 0.005900  Val RMSE: 0.0768  Val NMSE: 0.2067  Val NMSE_dB: -6.845642 dB  TrainTime: 29.50s
[83/150] TrainLoss: 0.004956  ValLoss: 0.005893  Val RMSE: 0.0768  Val NMSE: 0.2066  Val NMSE_dB: -6.848693 dB  TrainTime: 28.99s
[84/150] TrainLoss: 0.004967  ValLoss: 0.005929  Val RMSE: 0.0770  Val NMSE: 0.2070  Val NMSE_dB: -6.839620 dB  TrainTime: 29.21s
[85/150] TrainLoss: 0.004954  ValLoss: 0.005850  Val RMSE: 0.0765  Val NMSE: 0.2052  Val NMSE_dB: -6.878349 dB  TrainTime: 28.62s
[86/150] TrainLoss: 0.004942  ValLoss: 0.005979  Val RMSE: 0.0773  Val NMSE: 0.2097  Val NMSE_dB: -6.783412 dB  TrainTime: 30.58s
[87/150] TrainLoss: 0.004958  ValLoss: 0.005953  Val RMSE: 0.0772  Val NMSE: 0.2087  Val NMSE_dB: -6.804938 dB  TrainTime: 29.32s
[88/150] TrainLoss: 0.004897  ValLoss: 0.005900  Val RMSE: 0.0768  Val NMSE: 0.2069  Val NMSE_dB: -6.843048 dB  TrainTime: 30.29s
[89/150] TrainLoss: 0.004929  ValLoss: 0.005882  Val RMSE: 0.0767  Val NMSE: 0.2060  Val NMSE_dB: -6.862061 dB  TrainTime: 29.84s
[90/150] TrainLoss: 0.004914  ValLoss: 0.005862  Val RMSE: 0.0766  Val NMSE: 0.2051  Val NMSE_dB: -6.879769 dB  TrainTime: 30.16s
[91/150] TrainLoss: 0.004922  ValLoss: 0.005885  Val RMSE: 0.0767  Val NMSE: 0.2059  Val NMSE_dB: -6.863804 dB  TrainTime: 31.23s
[92/150] TrainLoss: 0.004925  ValLoss: 0.006045  Val RMSE: 0.0777  Val NMSE: 0.2124  Val NMSE_dB: -6.728475 dB  TrainTime: 33.16s
[93/150] TrainLoss: 0.004926  ValLoss: 0.005903  Val RMSE: 0.0768  Val NMSE: 0.2067  Val NMSE_dB: -6.846078 dB  TrainTime: 31.06s
[94/150] TrainLoss: 0.004904  ValLoss: 0.005893  Val RMSE: 0.0768  Val NMSE: 0.2061  Val NMSE_dB: -6.859652 dB  TrainTime: 29.39s
[95/150] TrainLoss: 0.004907  ValLoss: 0.005861  Val RMSE: 0.0766  Val NMSE: 0.2054  Val NMSE_dB: -6.874579 dB  TrainTime: 30.84s
[96/150] TrainLoss: 0.004884  ValLoss: 0.005975  Val RMSE: 0.0773  Val NMSE: 0.2093  Val NMSE_dB: -6.793031 dB  TrainTime: 29.66s
[97/150] TrainLoss: 0.004895  ValLoss: 0.005978  Val RMSE: 0.0773  Val NMSE: 0.2097  Val NMSE_dB: -6.784158 dB  TrainTime: 30.00s
[98/150] TrainLoss: 0.004942  ValLoss: 0.005946  Val RMSE: 0.0771  Val NMSE: 0.2082  Val NMSE_dB: -6.816068 dB  TrainTime: 30.08s
[99/150] TrainLoss: 0.004851  ValLoss: 0.005947  Val RMSE: 0.0771  Val NMSE: 0.2078  Val NMSE_dB: -6.824086 dB  TrainTime: 30.10s
[100/150] TrainLoss: 0.004865  ValLoss: 0.005998  Val RMSE: 0.0774  Val NMSE: 0.2104  Val NMSE_dB: -6.770401 dB  TrainTime: 29.10s
[101/150] TrainLoss: 0.004866  ValLoss: 0.005990  Val RMSE: 0.0774  Val NMSE: 0.2099  Val NMSE_dB: -6.779805 dB  TrainTime: 29.56s
[102/150] TrainLoss: 0.004873  ValLoss: 0.005964  Val RMSE: 0.0772  Val NMSE: 0.2090  Val NMSE_dB: -6.799152 dB  TrainTime: 31.95s
[103/150] TrainLoss: 0.004848  ValLoss: 0.005964  Val RMSE: 0.0772  Val NMSE: 0.2084  Val NMSE_dB: -6.810631 dB  TrainTime: 29.74s
[104/150] TrainLoss: 0.004866  ValLoss: 0.006081  Val RMSE: 0.0780  Val NMSE: 0.2139  Val NMSE_dB: -6.698442 dB  TrainTime: 29.42s
[105/150] TrainLoss: 0.004876  ValLoss: 0.005996  Val RMSE: 0.0774  Val NMSE: 0.2101  Val NMSE_dB: -6.776405 dB  TrainTime: 29.81s
[106/150] TrainLoss: 0.004878  ValLoss: 0.005898  Val RMSE: 0.0768  Val NMSE: 0.2065  Val NMSE_dB: -6.850107 dB  TrainTime: 29.57s
[107/150] TrainLoss: 0.004841  ValLoss: 0.005895  Val RMSE: 0.0768  Val NMSE: 0.2064  Val NMSE_dB: -6.853780 dB  TrainTime: 28.68s
[108/150] TrainLoss: 0.004817  ValLoss: 0.005879  Val RMSE: 0.0767  Val NMSE: 0.2054  Val NMSE_dB: -6.873065 dB  TrainTime: 28.87s
[109/150] TrainLoss: 0.004844  ValLoss: 0.005898  Val RMSE: 0.0768  Val NMSE: 0.2061  Val NMSE_dB: -6.858618 dB  TrainTime: 28.71s
[110/150] TrainLoss: 0.004830  ValLoss: 0.006013  Val RMSE: 0.0775  Val NMSE: 0.2105  Val NMSE_dB: -6.768138 dB  TrainTime: 28.99s
[111/150] TrainLoss: 0.004815  ValLoss: 0.006069  Val RMSE: 0.0779  Val NMSE: 0.2125  Val NMSE_dB: -6.726855 dB  TrainTime: 29.40s
[112/150] TrainLoss: 0.004828  ValLoss: 0.005990  Val RMSE: 0.0774  Val NMSE: 0.2101  Val NMSE_dB: -6.775567 dB  TrainTime: 30.04s
[113/150] TrainLoss: 0.004806  ValLoss: 0.005985  Val RMSE: 0.0774  Val NMSE: 0.2099  Val NMSE_dB: -6.780765 dB  TrainTime: 30.24s
[114/150] TrainLoss: 0.004835  ValLoss: 0.005875  Val RMSE: 0.0767  Val NMSE: 0.2057  Val NMSE_dB: -6.867190 dB  TrainTime: 29.46s
[115/150] TrainLoss: 0.004776  ValLoss: 0.005992  Val RMSE: 0.0774  Val NMSE: 0.2101  Val NMSE_dB: -6.776768 dB  TrainTime: 30.36s
[116/150] TrainLoss: 0.004794  ValLoss: 0.005967  Val RMSE: 0.0772  Val NMSE: 0.2087  Val NMSE_dB: -6.804616 dB  TrainTime: 30.19s
[117/150] TrainLoss: 0.004767  ValLoss: 0.005939  Val RMSE: 0.0771  Val NMSE: 0.2076  Val NMSE_dB: -6.826976 dB  TrainTime: 29.75s
[118/150] TrainLoss: 0.004801  ValLoss: 0.006039  Val RMSE: 0.0777  Val NMSE: 0.2116  Val NMSE_dB: -6.744479 dB  TrainTime: 29.71s
[119/150] TrainLoss: 0.004811  ValLoss: 0.005955  Val RMSE: 0.0772  Val NMSE: 0.2084  Val NMSE_dB: -6.810712 dB  TrainTime: 29.74s
[120/150] TrainLoss: 0.004792  ValLoss: 0.005967  Val RMSE: 0.0772  Val NMSE: 0.2090  Val NMSE_dB: -6.799469 dB  TrainTime: 29.28s
[121/150] TrainLoss: 0.004801  ValLoss: 0.005916  Val RMSE: 0.0769  Val NMSE: 0.2069  Val NMSE_dB: -6.842862 dB  TrainTime: 29.32s
[122/150] TrainLoss: 0.004802  ValLoss: 0.005971  Val RMSE: 0.0773  Val NMSE: 0.2091  Val NMSE_dB: -6.797102 dB  TrainTime: 30.09s
[123/150] TrainLoss: 0.004787  ValLoss: 0.006041  Val RMSE: 0.0777  Val NMSE: 0.2115  Val NMSE_dB: -6.747200 dB  TrainTime: 29.92s
[124/150] TrainLoss: 0.004786  ValLoss: 0.005952  Val RMSE: 0.0771  Val NMSE: 0.2088  Val NMSE_dB: -6.802911 dB  TrainTime: 29.81s
[125/150] TrainLoss: 0.004767  ValLoss: 0.006010  Val RMSE: 0.0775  Val NMSE: 0.2107  Val NMSE_dB: -6.763670 dB  TrainTime: 29.60s
[126/150] TrainLoss: 0.004778  ValLoss: 0.005969  Val RMSE: 0.0773  Val NMSE: 0.2088  Val NMSE_dB: -6.802640 dB  TrainTime: 30.14s
[127/150] TrainLoss: 0.004751  ValLoss: 0.005966  Val RMSE: 0.0772  Val NMSE: 0.2088  Val NMSE_dB: -6.803348 dB  TrainTime: 28.98s
[128/150] TrainLoss: 0.004755  ValLoss: 0.005996  Val RMSE: 0.0774  Val NMSE: 0.2105  Val NMSE_dB: -6.768227 dB  TrainTime: 29.11s
[129/150] TrainLoss: 0.004753  ValLoss: 0.005934  Val RMSE: 0.0770  Val NMSE: 0.2078  Val NMSE_dB: -6.823626 dB  TrainTime: 29.31s
[130/150] TrainLoss: 0.004727  ValLoss: 0.005962  Val RMSE: 0.0772  Val NMSE: 0.2088  Val NMSE_dB: -6.803561 dB  TrainTime: 29.00s
[131/150] TrainLoss: 0.004742  ValLoss: 0.006051  Val RMSE: 0.0778  Val NMSE: 0.2122  Val NMSE_dB: -6.732054 dB  TrainTime: 28.82s
[132/150] TrainLoss: 0.004750  ValLoss: 0.006005  Val RMSE: 0.0775  Val NMSE: 0.2107  Val NMSE_dB: -6.763363 dB  TrainTime: 28.66s
[133/150] TrainLoss: 0.004777  ValLoss: 0.006084  Val RMSE: 0.0780  Val NMSE: 0.2126  Val NMSE_dB: -6.723980 dB  TrainTime: 28.74s
[134/150] TrainLoss: 0.004754  ValLoss: 0.005980  Val RMSE: 0.0773  Val NMSE: 0.2095  Val NMSE_dB: -6.788336 dB  TrainTime: 29.04s
[135/150] TrainLoss: 0.004723  ValLoss: 0.006026  Val RMSE: 0.0776  Val NMSE: 0.2110  Val NMSE_dB: -6.757153 dB  TrainTime: 29.03s
[136/150] TrainLoss: 0.004744  ValLoss: 0.006021  Val RMSE: 0.0776  Val NMSE: 0.2106  Val NMSE_dB: -6.766400 dB  TrainTime: 29.00s
[137/150] TrainLoss: 0.004712  ValLoss: 0.005984  Val RMSE: 0.0774  Val NMSE: 0.2097  Val NMSE_dB: -6.784300 dB  TrainTime: 29.17s
[138/150] TrainLoss: 0.004719  ValLoss: 0.005939  Val RMSE: 0.0771  Val NMSE: 0.2081  Val NMSE_dB: -6.816439 dB  TrainTime: 28.81s
[139/150] TrainLoss: 0.004720  ValLoss: 0.005949  Val RMSE: 0.0771  Val NMSE: 0.2078  Val NMSE_dB: -6.822974 dB  TrainTime: 30.19s
[140/150] TrainLoss: 0.004721  ValLoss: 0.006009  Val RMSE: 0.0775  Val NMSE: 0.2105  Val NMSE_dB: -6.767628 dB  TrainTime: 29.86s
[141/150] TrainLoss: 0.004695  ValLoss: 0.006010  Val RMSE: 0.0775  Val NMSE: 0.2106  Val NMSE_dB: -6.765210 dB  TrainTime: 28.83s
[142/150] TrainLoss: 0.004694  ValLoss: 0.006032  Val RMSE: 0.0777  Val NMSE: 0.2113  Val NMSE_dB: -6.751817 dB  TrainTime: 29.22s
[143/150] TrainLoss: 0.004690  ValLoss: 0.005985  Val RMSE: 0.0774  Val NMSE: 0.2096  Val NMSE_dB: -6.786338 dB  TrainTime: 28.76s
[144/150] TrainLoss: 0.004701  ValLoss: 0.005997  Val RMSE: 0.0774  Val NMSE: 0.2094  Val NMSE_dB: -6.789368 dB  TrainTime: 28.69s
[145/150] TrainLoss: 0.004685  ValLoss: 0.006021  Val RMSE: 0.0776  Val NMSE: 0.2109  Val NMSE_dB: -6.758936 dB  TrainTime: 29.08s
[146/150] TrainLoss: 0.004720  ValLoss: 0.005972  Val RMSE: 0.0773  Val NMSE: 0.2089  Val NMSE_dB: -6.800803 dB  TrainTime: 28.57s
[147/150] TrainLoss: 0.004701  ValLoss: 0.006077  Val RMSE: 0.0780  Val NMSE: 0.2131  Val NMSE_dB: -6.714660 dB  TrainTime: 28.87s
[148/150] TrainLoss: 0.004707  ValLoss: 0.006057  Val RMSE: 0.0778  Val NMSE: 0.2117  Val NMSE_dB: -6.742061 dB  TrainTime: 28.63s
[149/150] TrainLoss: 0.004679  ValLoss: 0.006023  Val RMSE: 0.0776  Val NMSE: 0.2107  Val NMSE_dB: -6.762979 dB  TrainTime: 28.88s
[150/150] TrainLoss: 0.004701  ValLoss: 0.005951  Val RMSE: 0.0771  Val NMSE: 0.2084  Val NMSE_dB: -6.811135 dB  TrainTime: 28.84s
============================================================
=> Best ValLoss   : 0.005791   (epoch 66)
=> Best Val NMSE  : 0.2027   (epoch 66)
=> Best Val RMSE  : 0.0761   (epoch 66)
=> Best Val NMSE_dB: -6.9316 dB (epoch 66)
============================================================
