=== MLP Training ===
=== Training MLP ===
[67/1000] TrainLoss: 0.000646  ValLoss: 0.000129  Val RMSE: 0.0114  Val NMSE: 0.0046  Val NMSE_dB: -23.337671 dB  TrainTime: 1.20s
[68/1000] TrainLoss: 0.000651  ValLoss: 0.000114  Val RMSE: 0.0107  Val NMSE: 0.0041  Val NMSE_dB: -23.888549 dB  TrainTime: 1.28s
[69/1000] TrainLoss: 0.000649  ValLoss: 0.000119  Val RMSE: 0.0109  Val NMSE: 0.0043  Val NMSE_dB: -23.701029 dB  TrainTime: 1.26s
[70/1000] TrainLoss: 0.000646  ValLoss: 0.000089  Val RMSE: 0.0094  Val NMSE: 0.0032  Val NMSE_dB: -24.967373 dB  TrainTime: 1.19s
[71/1000] TrainLoss: 0.000642  ValLoss: 0.000128  Val RMSE: 0.0113  Val NMSE: 0.0046  Val NMSE_dB: -23.368070 dB  TrainTime: 1.41s
[72/1000] TrainLoss: 0.000646  ValLoss: 0.000106  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.204807 dB  TrainTime: 1.15s
[73/1000] TrainLoss: 0.000645  ValLoss: 0.000124  Val RMSE: 0.0111  Val NMSE: 0.0044  Val NMSE_dB: -23.537506 dB  TrainTime: 1.21s
[74/1000] TrainLoss: 0.000640  ValLoss: 0.000105  Val RMSE: 0.0102  Val NMSE: 0.0037  Val NMSE_dB: -24.259961 dB  TrainTime: 1.18s
[75/1000] TrainLoss: 0.000641  ValLoss: 0.000152  Val RMSE: 0.0123  Val NMSE: 0.0054  Val NMSE_dB: -22.645145 dB  TrainTime: 1.28s
[76/1000] TrainLoss: 0.000648  ValLoss: 0.000089  Val RMSE: 0.0094  Val NMSE: 0.0032  Val NMSE_dB: -24.963574 dB  TrainTime: 1.18s
[77/1000] TrainLoss: 0.000638  ValLoss: 0.000101  Val RMSE: 0.0100  Val NMSE: 0.0036  Val NMSE_dB: -24.419221 dB  TrainTime: 1.16s
[78/1000] TrainLoss: 0.000634  ValLoss: 0.000114  Val RMSE: 0.0107  Val NMSE: 0.0041  Val NMSE_dB: -23.902963 dB  TrainTime: 1.15s
[79/1000] TrainLoss: 0.000641  ValLoss: 0.000105  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.223955 dB  TrainTime: 1.31s
[80/1000] TrainLoss: 0.000643  ValLoss: 0.000125  Val RMSE: 0.0112  Val NMSE: 0.0045  Val NMSE_dB: -23.484261 dB  TrainTime: 1.20s
[81/1000] TrainLoss: 0.000643  ValLoss: 0.000121  Val RMSE: 0.0110  Val NMSE: 0.0043  Val NMSE_dB: -23.641263 dB  TrainTime: 1.19s
[82/1000] TrainLoss: 0.000642  ValLoss: 0.000128  Val RMSE: 0.0113  Val NMSE: 0.0046  Val NMSE_dB: -23.369573 dB  TrainTime: 1.33s
[83/1000] TrainLoss: 0.000642  ValLoss: 0.000097  Val RMSE: 0.0099  Val NMSE: 0.0035  Val NMSE_dB: -24.583895 dB  TrainTime: 1.20s
[84/1000] TrainLoss: 0.000637  ValLoss: 0.000096  Val RMSE: 0.0098  Val NMSE: 0.0034  Val NMSE_dB: -24.638160 dB  TrainTime: 1.15s
