=== Training CNN ===
[52/500] TrainLoss: 0.005495  ValLoss: 0.005901  Val RMSE: 0.0768  Val NMSE: 0.2078  Val NMSE_dB: -6.823393 dB  TrainTime: 4.82s
[53/500] TrainLoss: 0.005500  ValLoss: 0.005913  Val RMSE: 0.0769  Val NMSE: 0.2085  Val NMSE_dB: -6.808856 dB  TrainTime: 5.00s
[54/500] TrainLoss: 0.005497  ValLoss: 0.005989  Val RMSE: 0.0774  Val NMSE: 0.2110  Val NMSE_dB: -6.756740 dB  TrainTime: 8.09s
[55/500] TrainLoss: 0.005488  ValLoss: 0.005940  Val RMSE: 0.0771  Val NMSE: 0.2091  Val NMSE_dB: -6.796159 dB  TrainTime: 5.05s
[56/500] TrainLoss: 0.005484  ValLoss: 0.005933  Val RMSE: 0.0770  Val NMSE: 0.2094  Val NMSE_dB: -6.791092 dB  TrainTime: 4.87s
[57/500] TrainLoss: 0.005476  ValLoss: 0.005858  Val RMSE: 0.0765  Val NMSE: 0.2066  Val NMSE_dB: -6.848762 dB  TrainTime: 4.89s
[58/500] TrainLoss: 0.005468  ValLoss: 0.005866  Val RMSE: 0.0766  Val NMSE: 0.2067  Val NMSE_dB: -6.846921 dB  TrainTime: 4.83s
[59/500] TrainLoss: 0.005467  ValLoss: 0.005888  Val RMSE: 0.0767  Val NMSE: 0.2074  Val NMSE_dB: -6.831400 dB  TrainTime: 5.04s
[60/500] TrainLoss: 0.005463  ValLoss: 0.005985  Val RMSE: 0.0774  Val NMSE: 0.2114  Val NMSE_dB: -6.748867 dB  TrainTime: 5.25s
[61/500] TrainLoss: 0.005451  ValLoss: 0.005930  Val RMSE: 0.0770  Val NMSE: 0.2093  Val NMSE_dB: -6.792337 dB  TrainTime: 7.83s
[62/500] TrainLoss: 0.005457  ValLoss: 0.005836  Val RMSE: 0.0764  Val NMSE: 0.2054  Val NMSE_dB: -6.874296 dB  TrainTime: 4.85s
[63/500] TrainLoss: 0.005448  ValLoss: 0.005837  Val RMSE: 0.0764  Val NMSE: 0.2055  Val NMSE_dB: -6.871051 dB  TrainTime: 5.18s
[64/500] TrainLoss: 0.005444  ValLoss: 0.005923  Val RMSE: 0.0770  Val NMSE: 0.2086  Val NMSE_dB: -6.806176 dB  TrainTime: 4.81s
[65/500] TrainLoss: 0.005443  ValLoss: 0.005889  Val RMSE: 0.0767  Val NMSE: 0.2077  Val NMSE_dB: -6.825140 dB  TrainTime: 5.10s
[66/500] TrainLoss: 0.005434  ValLoss: 0.005844  Val RMSE: 0.0764  Val NMSE: 0.2058  Val NMSE_dB: -6.865823 dB  TrainTime: 5.17s
[67/500] TrainLoss: 0.005438  ValLoss: 0.005999  Val RMSE: 0.0775  Val NMSE: 0.2118  Val NMSE_dB: -6.741250 dB  TrainTime: 8.08s
[68/500] TrainLoss: 0.005430  ValLoss: 0.005894  Val RMSE: 0.0768  Val NMSE: 0.2075  Val NMSE_dB: -6.830427 dB  TrainTime: 4.82s
[69/500] TrainLoss: 0.005423  ValLoss: 0.005874  Val RMSE: 0.0766  Val NMSE: 0.2067  Val NMSE_dB: -6.846041 dB  TrainTime: 4.93s
[70/500] TrainLoss: 0.005421  ValLoss: 0.005816  Val RMSE: 0.0763  Val NMSE: 0.2051  Val NMSE_dB: -6.880175 dB  TrainTime: 4.84s
[71/500] TrainLoss: 0.005411  ValLoss: 0.005841  Val RMSE: 0.0764  Val NMSE: 0.2058  Val NMSE_dB: -6.865180 dB  TrainTime: 5.15s
[72/500] TrainLoss: 0.005419  ValLoss: 0.005805  Val RMSE: 0.0762  Val NMSE: 0.2045  Val NMSE_dB: -6.892517 dB  TrainTime: 5.00s
[73/500] TrainLoss: 0.005402  ValLoss: 0.005921  Val RMSE: 0.0769  Val NMSE: 0.2088  Val NMSE_dB: -6.802283 dB  TrainTime: 8.14s
[74/500] TrainLoss: 0.005414  ValLoss: 0.005834  Val RMSE: 0.0764  Val NMSE: 0.2054  Val NMSE_dB: -6.874188 dB  TrainTime: 4.87s
[75/500] TrainLoss: 0.005400  ValLoss: 0.005837  Val RMSE: 0.0764  Val NMSE: 0.2056  Val NMSE_dB: -6.870785 dB  TrainTime: 4.79s
[76/500] TrainLoss: 0.005397  ValLoss: 0.005854  Val RMSE: 0.0765  Val NMSE: 0.2063  Val NMSE_dB: -6.855589 dB  TrainTime: 5.08s
[77/500] TrainLoss: 0.005398  ValLoss: 0.005807  Val RMSE: 0.0762  Val NMSE: 0.2045  Val NMSE_dB: -6.892667 dB  TrainTime: 4.92s
[78/500] TrainLoss: 0.005389  ValLoss: 0.005905  Val RMSE: 0.0768  Val NMSE: 0.2085  Val NMSE_dB: -6.809684 dB  TrainTime: 5.02s
[79/500] TrainLoss: 0.005384  ValLoss: 0.005939  Val RMSE: 0.0771  Val NMSE: 0.2097  Val NMSE_dB: -6.784188 dB  TrainTime: 5.21s
[80/500] TrainLoss: 0.005395  ValLoss: 0.005848  Val RMSE: 0.0765  Val NMSE: 0.2059  Val NMSE_dB: -6.863887 dB  TrainTime: 7.77s
[81/500] TrainLoss: 0.005375  ValLoss: 0.005801  Val RMSE: 0.0762  Val NMSE: 0.2042  Val NMSE_dB: -6.900109 dB  TrainTime: 4.97s
[82/500] TrainLoss: 0.005369  ValLoss: 0.005860  Val RMSE: 0.0766  Val NMSE: 0.2065  Val NMSE_dB: -6.849970 dB  TrainTime: 4.84s
[83/500] TrainLoss: 0.005374  ValLoss: 0.005794  Val RMSE: 0.0761  Val NMSE: 0.2040  Val NMSE_dB: -6.903745 dB  TrainTime: 4.91s
[84/500] TrainLoss: 0.005366  ValLoss: 0.005769  Val RMSE: 0.0760  Val NMSE: 0.2032  Val NMSE_dB: -6.919845 dB  TrainTime: 4.85s
[85/500] TrainLoss: 0.005371  ValLoss: 0.005847  Val RMSE: 0.0765  Val NMSE: 0.2059  Val NMSE_dB: -6.864421 dB  TrainTime: 5.08s
[86/500] TrainLoss: 0.005368  ValLoss: 0.005799  Val RMSE: 0.0762  Val NMSE: 0.2042  Val NMSE_dB: -6.900115 dB  TrainTime: 5.23s
[87/500] TrainLoss: 0.005354  ValLoss: 0.005845  Val RMSE: 0.0765  Val NMSE: 0.2061  Val NMSE_dB: -6.858201 dB  TrainTime: 7.53s
[88/500] TrainLoss: 0.005347  ValLoss: 0.005839  Val RMSE: 0.0764  Val NMSE: 0.2057  Val NMSE_dB: -6.868639 dB  TrainTime: 4.90s
[89/500] TrainLoss: 0.005348  ValLoss: 0.005900  Val RMSE: 0.0768  Val NMSE: 0.2077  Val NMSE_dB: -6.824925 dB  TrainTime: 4.75s
[90/500] TrainLoss: 0.005361  ValLoss: 0.005794  Val RMSE: 0.0761  Val NMSE: 0.2043  Val NMSE_dB: -6.897508 dB  TrainTime: 4.87s
[91/500] TrainLoss: 0.005344  ValLoss: 0.005838  Val RMSE: 0.0764  Val NMSE: 0.2058  Val NMSE_dB: -6.865560 dB  TrainTime: 5.03s
[92/500] TrainLoss: 0.005339  ValLoss: 0.005788  Val RMSE: 0.0761  Val NMSE: 0.2037  Val NMSE_dB: -6.909084 dB  TrainTime: 5.13s
[93/500] TrainLoss: 0.005342  ValLoss: 0.005788  Val RMSE: 0.0761  Val NMSE: 0.2039  Val NMSE_dB: -6.906221 dB  TrainTime: 7.85s
[94/500] TrainLoss: 0.005338  ValLoss: 0.005838  Val RMSE: 0.0764  Val NMSE: 0.2057  Val NMSE_dB: -6.867195 dB  TrainTime: 4.98s
[95/500] TrainLoss: 0.005348  ValLoss: 0.005841  Val RMSE: 0.0764  Val NMSE: 0.2055  Val NMSE_dB: -6.871905 dB  TrainTime: 4.87s
[96/500] TrainLoss: 0.005334  ValLoss: 0.005836  Val RMSE: 0.0764  Val NMSE: 0.2058  Val NMSE_dB: -6.865933 dB  TrainTime: 4.73s
[97/500] TrainLoss: 0.005339  ValLoss: 0.005835  Val RMSE: 0.0764  Val NMSE: 0.2057  Val NMSE_dB: -6.868428 dB  TrainTime: 5.01s
[98/500] TrainLoss: 0.005322  ValLoss: 0.005825  Val RMSE: 0.0763  Val NMSE: 0.2053  Val NMSE_dB: -6.876669 dB  TrainTime: 4.88s
[99/500] TrainLoss: 0.005321  ValLoss: 0.005818  Val RMSE: 0.0763  Val NMSE: 0.2048  Val NMSE_dB: -6.887140 dB  TrainTime: 5.54s
[100/500] TrainLoss: 0.005320  ValLoss: 0.005802  Val RMSE: 0.0762  Val NMSE: 0.2045  Val NMSE_dB: -6.892931 dB  TrainTime: 7.61s
[101/500] TrainLoss: 0.005319  ValLoss: 0.005869  Val RMSE: 0.0766  Val NMSE: 0.2067  Val NMSE_dB: -6.845847 dB  TrainTime: 4.77s
[102/500] TrainLoss: 0.005321  ValLoss: 0.005905  Val RMSE: 0.0768  Val NMSE: 0.2083  Val NMSE_dB: -6.813019 dB  TrainTime: 4.72s
[103/500] TrainLoss: 0.005317  ValLoss: 0.005859  Val RMSE: 0.0765  Val NMSE: 0.2065  Val NMSE_dB: -6.850271 dB  TrainTime: 4.89s
[104/500] TrainLoss: 0.005313  ValLoss: 0.005817  Val RMSE: 0.0763  Val NMSE: 0.2045  Val NMSE_dB: -6.892493 dB  TrainTime: 4.89s
[105/500] TrainLoss: 0.005313  ValLoss: 0.005859  Val RMSE: 0.0765  Val NMSE: 0.2067  Val NMSE_dB: -6.847436 dB  TrainTime: 5.24s
[106/500] TrainLoss: 0.005309  ValLoss: 0.005864  Val RMSE: 0.0766  Val NMSE: 0.2065  Val NMSE_dB: -6.850520 dB  TrainTime: 7.83s
[107/500] TrainLoss: 0.005317  ValLoss: 0.005763  Val RMSE: 0.0759  Val NMSE: 0.2029  Val NMSE_dB: -6.927013 dB  TrainTime: 4.88s
[108/500] TrainLoss: 0.005295  ValLoss: 0.005895  Val RMSE: 0.0768  Val NMSE: 0.2075  Val NMSE_dB: -6.829192 dB  TrainTime: 4.76s
[109/500] TrainLoss: 0.005304  ValLoss: 0.005809  Val RMSE: 0.0762  Val NMSE: 0.2044  Val NMSE_dB: -6.896075 dB  TrainTime: 4.74s
[110/500] TrainLoss: 0.005302  ValLoss: 0.005789  Val RMSE: 0.0761  Val NMSE: 0.2037  Val NMSE_dB: -6.909150 dB  TrainTime: 5.11s
[111/500] TrainLoss: 0.005298  ValLoss: 0.005928  Val RMSE: 0.0770  Val NMSE: 0.2093  Val NMSE_dB: -6.792075 dB  TrainTime: 4.88s
[112/500] TrainLoss: 0.005296  ValLoss: 0.005894  Val RMSE: 0.0768  Val NMSE: 0.2077  Val NMSE_dB: -6.825092 dB  TrainTime: 5.72s
[113/500] TrainLoss: 0.005292  ValLoss: 0.005786  Val RMSE: 0.0761  Val NMSE: 0.2037  Val NMSE_dB: -6.909053 dB  TrainTime: 7.59s
[114/500] TrainLoss: 0.005286  ValLoss: 0.005826  Val RMSE: 0.0763  Val NMSE: 0.2054  Val NMSE_dB: -6.873987 dB  TrainTime: 5.08s
[115/500] TrainLoss: 0.005286  ValLoss: 0.005852  Val RMSE: 0.0765  Val NMSE: 0.2064  Val NMSE_dB: -6.852767 dB  TrainTime: 5.04s
[116/500] TrainLoss: 0.005291  ValLoss: 0.005833  Val RMSE: 0.0764  Val NMSE: 0.2053  Val NMSE_dB: -6.876075 dB  TrainTime: 4.98s
[117/500] TrainLoss: 0.005286  ValLoss: 0.005776  Val RMSE: 0.0760  Val NMSE: 0.2030  Val NMSE_dB: -6.925174 dB  TrainTime: 5.20s
[118/500] TrainLoss: 0.005291  ValLoss: 0.005839  Val RMSE: 0.0764  Val NMSE: 0.2056  Val NMSE_dB: -6.870751 dB  TrainTime: 4.94s
[119/500] TrainLoss: 0.005272  ValLoss: 0.005763  Val RMSE: 0.0759  Val NMSE: 0.2028  Val NMSE_dB: -6.928749 dB  TrainTime: 7.28s
[120/500] TrainLoss: 0.005268  ValLoss: 0.005803  Val RMSE: 0.0762  Val NMSE: 0.2044  Val NMSE_dB: -6.896125 dB  TrainTime: 5.06s
[121/500] TrainLoss: 0.005277  ValLoss: 0.005735  Val RMSE: 0.0757  Val NMSE: 0.2019  Val NMSE_dB: -6.949527 dB  TrainTime: 5.01s
[122/500] TrainLoss: 0.005271  ValLoss: 0.005757  Val RMSE: 0.0759  Val NMSE: 0.2029  Val NMSE_dB: -6.927098 dB  TrainTime: 5.08s
[123/500] TrainLoss: 0.005273  ValLoss: 0.005919  Val RMSE: 0.0769  Val NMSE: 0.2084  Val NMSE_dB: -6.810490 dB  TrainTime: 4.86s
[124/500] TrainLoss: 0.005267  ValLoss: 0.005773  Val RMSE: 0.0760  Val NMSE: 0.2035  Val NMSE_dB: -6.914360 dB  TrainTime: 5.10s
[125/500] TrainLoss: 0.005261  ValLoss: 0.005766  Val RMSE: 0.0759  Val NMSE: 0.2029  Val NMSE_dB: -6.927325 dB  TrainTime: 5.04s
[126/500] TrainLoss: 0.005267  ValLoss: 0.005753  Val RMSE: 0.0759  Val NMSE: 0.2026  Val NMSE_dB: -6.934568 dB  TrainTime: 7.04s
[127/500] TrainLoss: 0.005264  ValLoss: 0.005807  Val RMSE: 0.0762  Val NMSE: 0.2046  Val NMSE_dB: -6.891290 dB  TrainTime: 5.08s
[128/500] TrainLoss: 0.005272  ValLoss: 0.005837  Val RMSE: 0.0764  Val NMSE: 0.2056  Val NMSE_dB: -6.869371 dB  TrainTime: 5.44s
[129/500] TrainLoss: 0.005268  ValLoss: 0.005770  Val RMSE: 0.0760  Val NMSE: 0.2033  Val NMSE_dB: -6.918500 dB  TrainTime: 5.30s
[130/500] TrainLoss: 0.005247  ValLoss: 0.005779  Val RMSE: 0.0760  Val NMSE: 0.2038  Val NMSE_dB: -6.909021 dB  TrainTime: 5.10s
