=== Training CNN ===
[61/1000] TrainLoss: 0.000034  ValLoss: 0.000036  Val RMSE: 0.0060  Val NMSE: 0.0007  Val NMSE_dB: -31.448862 dB  TrainTime: 1.12s
[62/1000] TrainLoss: 0.000043  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.210350 dB  TrainTime: 1.41s
[63/1000] TrainLoss: 0.000038  ValLoss: 0.000029  Val RMSE: 0.0054  Val NMSE: 0.0006  Val NMSE_dB: -32.344808 dB  TrainTime: 1.09s
[64/1000] TrainLoss: 0.000038  ValLoss: 0.000057  Val RMSE: 0.0076  Val NMSE: 0.0011  Val NMSE_dB: -29.400481 dB  TrainTime: 1.10s
[65/1000] TrainLoss: 0.000036  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0002  Val NMSE_dB: -36.052822 dB  TrainTime: 1.24s
[66/1000] TrainLoss: 0.000033  ValLoss: 0.000023  Val RMSE: 0.0047  Val NMSE: 0.0005  Val NMSE_dB: -33.427352 dB  TrainTime: 1.31s
[67/1000] TrainLoss: 0.000035  ValLoss: 0.000044  Val RMSE: 0.0067  Val NMSE: 0.0009  Val NMSE_dB: -30.488296 dB  TrainTime: 1.16s
[68/1000] TrainLoss: 0.000036  ValLoss: 0.000027  Val RMSE: 0.0052  Val NMSE: 0.0005  Val NMSE_dB: -32.677293 dB  TrainTime: 1.14s
[69/1000] TrainLoss: 0.000043  ValLoss: 0.000054  Val RMSE: 0.0073  Val NMSE: 0.0011  Val NMSE_dB: -29.636035 dB  TrainTime: 1.31s
[70/1000] TrainLoss: 0.000038  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0005  Val NMSE_dB: -33.455523 dB  TrainTime: 1.21s
[71/1000] TrainLoss: 0.000028  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0008  Val NMSE_dB: -31.235328 dB  TrainTime: 1.21s
[72/1000] TrainLoss: 0.000043  ValLoss: 0.000023  Val RMSE: 0.0048  Val NMSE: 0.0005  Val NMSE_dB: -33.264889 dB  TrainTime: 1.20s
[73/1000] TrainLoss: 0.000029  ValLoss: 0.000028  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.469255 dB  TrainTime: 1.20s
[74/1000] TrainLoss: 0.000026  ValLoss: 0.000049  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.092285 dB  TrainTime: 1.07s
[75/1000] TrainLoss: 0.000047  ValLoss: 0.000031  Val RMSE: 0.0055  Val NMSE: 0.0006  Val NMSE_dB: -32.107768 dB  TrainTime: 1.07s
[76/1000] TrainLoss: 0.000031  ValLoss: 0.000041  Val RMSE: 0.0064  Val NMSE: 0.0008  Val NMSE_dB: -30.870443 dB  TrainTime: 1.19s
[77/1000] TrainLoss: 0.000031  ValLoss: 0.000063  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.939931 dB  TrainTime: 1.32s
[78/1000] TrainLoss: 0.000031  ValLoss: 0.000041  Val RMSE: 0.0064  Val NMSE: 0.0008  Val NMSE_dB: -30.885314 dB  TrainTime: 1.10s
[79/1000] TrainLoss: 0.000034  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.235785 dB  TrainTime: 1.11s
[80/1000] TrainLoss: 0.000030  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.075557 dB  TrainTime: 1.17s
[81/1000] TrainLoss: 0.000030  ValLoss: 0.000019  Val RMSE: 0.0044  Val NMSE: 0.0004  Val NMSE_dB: -34.095062 dB  TrainTime: 1.17s
[82/1000] TrainLoss: 0.000035  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0009  Val NMSE_dB: -30.697299 dB  TrainTime: 1.08s
[83/1000] TrainLoss: 0.000029  ValLoss: 0.000021  Val RMSE: 0.0046  Val NMSE: 0.0004  Val NMSE_dB: -33.706202 dB  TrainTime: 1.27s
[84/1000] TrainLoss: 0.000036  ValLoss: 0.000020  Val RMSE: 0.0045  Val NMSE: 0.0004  Val NMSE_dB: -33.975314 dB  TrainTime: 1.16s
[85/1000] TrainLoss: 0.000026  ValLoss: 0.000049  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.033955 dB  TrainTime: 0.32s
[86/1000] TrainLoss: 0.000036  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0008  Val NMSE_dB: -31.232834 dB  TrainTime: 1.13s
[87/1000] TrainLoss: 0.000031  ValLoss: 0.000066  Val RMSE: 0.0082  Val NMSE: 0.0013  Val NMSE_dB: -28.733561 dB  TrainTime: 1.17s
[88/1000] TrainLoss: 0.000031  ValLoss: 0.000019  Val RMSE: 0.0043  Val NMSE: 0.0004  Val NMSE_dB: -34.238556 dB  TrainTime: 1.19s
[89/1000] TrainLoss: 0.000018  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0007  Val NMSE_dB: -31.262379 dB  TrainTime: 1.49s
[90/1000] TrainLoss: 0.000042  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0005  Val NMSE_dB: -33.057955 dB  TrainTime: 1.06s
[91/1000] TrainLoss: 0.000022  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.624626 dB  TrainTime: 1.15s
[92/1000] TrainLoss: 0.000025  ValLoss: 0.000028  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.416979 dB  TrainTime: 1.15s
[93/1000] TrainLoss: 0.000039  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.525752 dB  TrainTime: 1.16s
[94/1000] TrainLoss: 0.000024  ValLoss: 0.000037  Val RMSE: 0.0060  Val NMSE: 0.0007  Val NMSE_dB: -31.328411 dB  TrainTime: 1.29s
[95/1000] TrainLoss: 0.000028  ValLoss: 0.000049  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.102289 dB  TrainTime: 1.16s
[96/1000] TrainLoss: 0.000025  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.620193 dB  TrainTime: 1.18s
[97/1000] TrainLoss: 0.000035  ValLoss: 0.000072  Val RMSE: 0.0085  Val NMSE: 0.0014  Val NMSE_dB: -28.415048 dB  TrainTime: 1.13s
[98/1000] TrainLoss: 0.000021  ValLoss: 0.000038  Val RMSE: 0.0062  Val NMSE: 0.0008  Val NMSE_dB: -31.163755 dB  TrainTime: 1.13s
[99/1000] TrainLoss: 0.000028  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0002  Val NMSE_dB: -36.086923 dB  TrainTime: 1.34s
[100/1000] TrainLoss: 0.000024  ValLoss: 0.000008  Val RMSE: 0.0029  Val NMSE: 0.0002  Val NMSE_dB: -37.793284 dB  TrainTime: 1.08s
[101/1000] TrainLoss: 0.000026  ValLoss: 0.000064  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.909881 dB  TrainTime: 1.05s
[102/1000] TrainLoss: 0.000032  ValLoss: 0.000028  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.542635 dB  TrainTime: 1.13s
[103/1000] TrainLoss: 0.000034  ValLoss: 0.000016  Val RMSE: 0.0041  Val NMSE: 0.0003  Val NMSE_dB: -34.791054 dB  TrainTime: 1.32s
