=== Training LWM ===
[52/1000] TrainLoss: 0.000071  ValLoss: 0.000015  Val RMSE: 0.0038  Val NMSE: 0.0005  Val NMSE_dB: -32.824665 dB  TrainTime: 11.63s
[53/1000] TrainLoss: 0.000063  ValLoss: 0.000029  Val RMSE: 0.0054  Val NMSE: 0.0010  Val NMSE_dB: -29.816806 dB  TrainTime: 13.84s
[54/1000] TrainLoss: 0.000163  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.048522 dB  TrainTime: 11.83s
[55/1000] TrainLoss: 0.000053  ValLoss: 0.000008  Val RMSE: 0.0028  Val NMSE: 0.0003  Val NMSE_dB: -35.594239 dB  TrainTime: 11.58s
[56/1000] TrainLoss: 0.000049  ValLoss: 0.000013  Val RMSE: 0.0036  Val NMSE: 0.0005  Val NMSE_dB: -33.355318 dB  TrainTime: 14.03s
[57/1000] TrainLoss: 0.000054  ValLoss: 0.000010  Val RMSE: 0.0032  Val NMSE: 0.0004  Val NMSE_dB: -34.315649 dB  TrainTime: 11.62s
[58/1000] TrainLoss: 0.000051  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.451859 dB  TrainTime: 11.63s
[59/1000] TrainLoss: 0.000048  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.204074 dB  TrainTime: 14.03s
[60/1000] TrainLoss: 0.000131  ValLoss: 0.000014  Val RMSE: 0.0038  Val NMSE: 0.0005  Val NMSE_dB: -32.911546 dB  TrainTime: 11.62s
[61/1000] TrainLoss: 0.000044  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0003  Val NMSE_dB: -35.877974 dB  TrainTime: 11.83s
[62/1000] TrainLoss: 0.000039  ValLoss: 0.000012  Val RMSE: 0.0034  Val NMSE: 0.0004  Val NMSE_dB: -33.813829 dB  TrainTime: 13.89s
[63/1000] TrainLoss: 0.000042  ValLoss: 0.000009  Val RMSE: 0.0029  Val NMSE: 0.0003  Val NMSE_dB: -35.111744 dB  TrainTime: 11.68s
[64/1000] TrainLoss: 0.000048  ValLoss: 0.000005  Val RMSE: 0.0021  Val NMSE: 0.0002  Val NMSE_dB: -37.894109 dB  TrainTime: 11.79s
[65/1000] TrainLoss: 0.000044  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0004  Val NMSE_dB: -33.485064 dB  TrainTime: 13.87s
[66/1000] TrainLoss: 0.000036  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.651865 dB  TrainTime: 11.75s
[67/1000] TrainLoss: 0.000216  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0004  Val NMSE_dB: -33.660774 dB  TrainTime: 13.92s
[68/1000] TrainLoss: 0.000038  ValLoss: 0.000006  Val RMSE: 0.0025  Val NMSE: 0.0002  Val NMSE_dB: -36.543705 dB  TrainTime: 11.69s
[69/1000] TrainLoss: 0.000031  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.592905 dB  TrainTime: 11.72s
[70/1000] TrainLoss: 0.000029  ValLoss: 0.000009  Val RMSE: 0.0030  Val NMSE: 0.0003  Val NMSE_dB: -34.929438 dB  TrainTime: 13.88s
[71/1000] TrainLoss: 0.000027  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.157833 dB  TrainTime: 11.80s
[72/1000] TrainLoss: 0.000028  ValLoss: 0.000013  Val RMSE: 0.0036  Val NMSE: 0.0005  Val NMSE_dB: -33.288653 dB  TrainTime: 11.61s
[73/1000] TrainLoss: 0.000030  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0002  Val NMSE_dB: -36.893538 dB  TrainTime: 13.86s
[74/1000] TrainLoss: 0.000042  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0002  Val NMSE_dB: -36.851789 dB  TrainTime: 11.71s
[75/1000] TrainLoss: 0.000025  ValLoss: 0.000005  Val RMSE: 0.0021  Val NMSE: 0.0002  Val NMSE_dB: -37.806610 dB  TrainTime: 11.81s
[76/1000] TrainLoss: 0.000028  ValLoss: 0.000016  Val RMSE: 0.0040  Val NMSE: 0.0006  Val NMSE_dB: -32.410128 dB  TrainTime: 13.79s
[77/1000] TrainLoss: 0.000032  ValLoss: 0.000013  Val RMSE: 0.0036  Val NMSE: 0.0005  Val NMSE_dB: -33.302391 dB  TrainTime: 11.59s
[78/1000] TrainLoss: 0.000110  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0009  Val NMSE_dB: -30.484657 dB  TrainTime: 14.02s
[79/1000] TrainLoss: 0.000029  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.094890 dB  TrainTime: 11.74s
[80/1000] TrainLoss: 0.000021  ValLoss: 0.000004  Val RMSE: 0.0021  Val NMSE: 0.0002  Val NMSE_dB: -38.184695 dB  TrainTime: 11.61s
[81/1000] TrainLoss: 0.000025  ValLoss: 0.000003  Val RMSE: 0.0017  Val NMSE: 0.0001  Val NMSE_dB: -39.970309 dB  TrainTime: 14.08s
[82/1000] TrainLoss: 0.000022  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0002  Val NMSE_dB: -36.714934 dB  TrainTime: 11.55s
[83/1000] TrainLoss: 0.000023  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.603218 dB  TrainTime: 11.54s
[84/1000] TrainLoss: 0.000021  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0003  Val NMSE_dB: -35.704968 dB  TrainTime: 14.18s
[85/1000] TrainLoss: 0.000026  ValLoss: 0.000003  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.138441 dB  TrainTime: 11.22s
